,name,rating,sub_region,year,price_DKK,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,cardinal_1,cardinal_2
5128,Brunello di Montalcino ,4.2,Brunello di Montalcino,2011,345 ,1439,1312.0,0.42987,0.533674,0.0324517,0.613734,Ciacci Piccolomini d'Aragona,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5129,Chianti Classico Riserva ,3.7,Chianti Classico,2011,166.50 ,1725,1843.0,0.40571399999999996,0.533583,0.0,0.632284,Banfi,semi light,semi tannic,dry,acidic,Toscana,North,North-west
5130,Fonterutoli Chianti Classico ,3.8,Chianti Classico,2011,504 ,1723,1974.0,0.429159,0.522979,0.019994699999999997,0.598187,Mazzei,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5131,Brunello di Montalcino ,4.3,Brunello di Montalcino,2011,342.63 ,1743,1792.0,0.45236999999999994,0.530825,0.032400599999999995,0.601962,Castiglion del Bosco,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5132,Bibbona ,4.5,Toscana,2011,1080.04 ,619,597.0,0.5240319999999999,0.396393,0.077196,0.425511,Biserno,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
5133,Barolo Bussia Cicala ,4.5,Barolo,2011,3000 ,189,456.0,0.6181610000000001,0.740522,0.0680685,0.786802,Aldo Conterno,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5134,Tenuta Lodola Nuova Vino Nobile di Montepulciano ,3.7,Vino Nobile di Montepulciano,2011,121.04 ,1435,569.0,0.519274,0.537702,0.0,0.615784,Ruffino,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5135,Amarone della Valpolicella Classico ,4.5,Amarone della Valpolicella Classico,2011,185 ,193,153.0,0.786196,0.18418800000000002,0.48641399999999996,0.232901,Monte Santoccio,bold,smooth,sweet,semi soft,Veneto,North,North-east
5136,Bassolino di Sopra Brunello di Montalcino ,4.7,Brunello di Montalcino,2010,2370.21 ,40,32.0,0.33305599999999996,0.542667,0.091389,0.595889,Pian dell'Orino,light,semi tannic,dry,semi acidic,Toscana,North,North-west
5137, Sessantanni Old Vines Primitivo di Manduria ,4.4,Primitivo di Manduria,2010,189 ,6455,3668.0,0.664558,0.19759000000000002,0.446057,0.086188,San Marzano,semi bold,smooth,sweet,soft,Puglia,East,South-east
5138,Amarone della Valpolicella Classico ,4.4,Amarone della Valpolicella Classico,2010,2449 ,6421,6120.0,0.825,0.20305999999999996,0.474394,0.20458600000000002,Tommasi,bold,smooth,sweet,soft,Veneto,North,North-east
